Payment Id,Amount,Currency,Status,Order Id,Method,Email,Contact,Description,Error Code,Error Description,Error Source,Error Step,Error Reason,Token Id,Created At
pay_NhAa1bC2dE3fG4,2499.00,INR,failed,order_NhAa0zY9xW8vU7,card,priya.sharma@example.com,+919876543210,Annual plan,BAD_REQUEST_ERROR,Your payment could not be completed due to insufficient funds in the account.,customer,payment_authorization,payment_failed,,05/09/2026 10:14:32
pay_NhAb2cD3eF4gH5,"1,499.00",INR,failed,order_NhAb1aZ0yX9wV8,upi,rahul.verma@example.com,+919812345678,Quarterly plan,BAD_REQUEST_ERROR,Transaction failed as the account has insufficient balance. Please add money and retry.,customer,payment_authorization,payment_failed,,05/09/2026 10:21:05
pay_NhAc3dE4fG5hI6,599,INR,failed,order_NhAc2bA1zY0xW9,netbanking,sneha.patel@example.com,+919723456789,Monthly plan,GATEWAY_ERROR,Net banking for the selected bank is currently unavailable due to scheduled maintenance.,bank,payment_initiation,payment_failed,,05/09/2026 10:33:48
pay_NhAd4eF5gH6iJ7,1999.00,INR,captured,order_NhAd3cB2aZ1yX0,card,kavya.reddy@example.com,+919440012345,Annual plan,,,,,,,05/09/2026 10:40:11
pay_NhAe5fG6hI7jK8,899.00,INR,failed,order_NhAe4dC3bA2zY1,card,rohan.mehta@example.com,+919820098200,Annual plan,BAD_REQUEST_ERROR,3DS authentication was not completed in time.,customer,payment_authentication,payment_timed_out,token_NhAe5xQ1wErTyU,05/09/2026 10:52:39
pay_NhAf6gH7iJ8kL9,459.00,INR,failed,order_NhAf5eD4cB3aZ2,upi,divya.krishnan@example.com,+919566012345,Monthly plan,BAD_REQUEST_ERROR,UPI collect request expired: the customer did not approve the payment in the UPI app.,customer,payment_authentication,payment_timed_out,,05/09/2026 11:02:17
pay_NhAg7hI8jK9lM0,1299.00,INR,failed,order_NhAg6fE5dC4bA3,card,neha.gupta@example.com,+919910011223,Annual plan,BAD_REQUEST_ERROR,Card declined: the card has expired.,bank,payment_authorization,card_declined,,05/09/2026 11:15:54
pay_NhAh8iJ9kL0mN1,249.00,INR,refunded,order_NhAh7gF6eD5cB4,wallet,meera.pillai@example.com,+919847098470,Monthly plan,,,,,,,05/09/2026 11:20:30
pay_NhAi9jK0lM1nO2,19999.00,INR,failed,order_NhAi8hG7fE6dC5,card,siddharth.menon@example.com,+919495123456,Enterprise plan,BAD_REQUEST_ERROR,Transaction flagged as suspicious by the issuing bank's risk engine.,bank,payment_authorization,payment_risk_check_failed,token_NhAi9zR2xFtGhV,05/09/2026 11:31:02
pay_NhAj0kL1mN2oP3,999.00,INR,failed,order_NhAj9iH8gF7eD6,card,aman.chauhan@example.com,+919650012345,Annual plan,GATEWAY_ERROR,Gateway timeout while waiting for the issuer's authorization response.,gateway,payment_authorization,payment_timed_out,,05/09/2026 11:44:26
pay_NhAk1lM2nO3pQ4,699.00,INR,failed,order_NhAk0jI9hG8fE7,card,varun.kulkarni@example.com,+919922334455,Annual plan,BAD_REQUEST_ERROR,Payment was declined by the issuing bank.,bank,payment_authorization,card_declined,,05/09/2026 11:58:03
pay_NhAl2mN3oP4qR5,,INR,failed,order_NhAl1kJ0iH9gF8,card,ishita.banerjee@example.com,+919830098300,Monthly plan,GATEWAY_ERROR,Request timed out at the NPCI switch.,network,payment_authorization,payment_failed,,05/09/2026 12:05:41
